ID,Title,Description,Related Story,Related Requirement,Status,Priority
TSK-UI-001,Hebrew RTL layout for all pages,Ensure all pages render in Hebrew with right-to-left text direction,US-UI-001,REQ-UI-001,done,High
TSK-UI-002,Login page,Implement login page with email/password authentication form,US-UI-002,REQ-UI-002,done,High
TSK-UI-003,Signup page,Implement signup page allowing new bartender registration,US-UI-002,REQ-UI-003,done,High
TSK-UI-004,Bartender dashboard,Build bartender dashboard showing upcoming shifts and available open shifts,US-UI-003,REQ-UI-004,done,High
TSK-UI-005,Manager dashboard,Build manager dashboard with calendar view and shift management actions,US-UI-004,REQ-UI-005,done,High
TSK-UI-006,User profile page,Implement profile page for viewing and editing personal details,US-UI-005,REQ-UI-006,done,Medium
TSK-UI-007,Default landing page redirect,Redirect users to the appropriate dashboard based on their role after login,US-UI-006,REQ-UI-007,todo,Medium
TSK-UI-008,Shift detail page,Create page showing full shift info; assigned bartenders; and current status,US-UI-007,REQ-UI-008,todo,Medium
TSK-UI-009,Report filling UI,Build report page displaying the task checklist for a running shift,US-UI-008,REQ-UI-009,todo,High
TSK-UI-010,Task template management page,Build page for managers to create; edit; delete; and activate task templates,US-UI-009,REQ-UI-010,todo,High
TSK-UI-011,Role-based navigation,Adapt navigation menu to user role; showing only permitted menu items,US-UI-010,REQ-UI-011,done,High
TSK-UI-012,Shift form dialog,Implement dialog component for creating and editing shifts with validation,US-UI-011,REQ-UI-012,done,High
TSK-UI-013,Responsive layout,Ensure layout works correctly on both mobile and desktop screens,US-UI-012,REQ-UI-013,done,Medium
TSK-UI-014,User management page for managers,Build page listing all users with suspend; unsuspend; and delete actions,US-UI-013,REQ-UI-014,done,Medium
